2021-06-02 17:52:41  INFO LoggerFactory:? - using logger: org.apache.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-06-02 17:53:18  INFO AbstractRegistryFactory:68 -  [DUBBO] Close all registries [zookeeper://127.0.0.1:2181/org.apache.dubbo.registry.RegistryService?application=coupon-app&dubbo=2.0.2&interface=org.apache.dubbo.registry.RegistryService&pid=63422&release=2.7.2&timestamp=1622627585809], dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:18  INFO ZookeeperRegistry:458 -  [DUBBO] Destroy registry:zookeeper://127.0.0.1:2181/org.apache.dubbo.registry.RegistryService?application=coupon-app&dubbo=2.0.2&interface=org.apache.dubbo.registry.RegistryService&pid=63422&release=2.7.2&timestamp=1622627585809, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:18  INFO ZookeeperRegistry:291 -  [DUBBO] Unregister: dubbo://172.26.9.85:20881/com.neu.couponserviceapi.service.CouponService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.couponserviceapi.service.CouponService&methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice&pid=63422&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622627592843, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:18  INFO ZookeeperRegistry:467 -  [DUBBO] Destroy unregister url dubbo://172.26.9.85:20881/com.neu.couponserviceapi.service.CouponService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.couponserviceapi.service.CouponService&methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice&pid=63422&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622627592843, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:18  INFO ZookeeperRegistry:291 -  [DUBBO] Unregister: consumer://172.26.9.85/com.neu.userserviceapi.service.UserService?application=coupon-app&category=consumers&check=false&dubbo=2.0.2&generic=false&interface=com.neu.userserviceapi.service.UserService&lazy=false&methods=getUserById&pid=63422&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1622627580766, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:18  INFO ZookeeperRegistry:467 -  [DUBBO] Destroy unregister url consumer://172.26.9.85/com.neu.userserviceapi.service.UserService?application=coupon-app&category=consumers&check=false&dubbo=2.0.2&generic=false&interface=com.neu.userserviceapi.service.UserService&lazy=false&methods=getUserById&pid=63422&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1622627580766, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:18  INFO ZookeeperRegistry:320 -  [DUBBO] Unsubscribe: consumer://172.26.9.85/com.neu.userserviceapi.service.UserService?application=coupon-app&category=providers,configurators,routers&dubbo=2.0.2&generic=false&interface=com.neu.userserviceapi.service.UserService&lazy=false&methods=getUserById&pid=63422&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1622627580766, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:18  INFO ZookeeperRegistry:483 -  [DUBBO] Destroy unsubscribe url consumer://172.26.9.85/com.neu.userserviceapi.service.UserService?application=coupon-app&category=providers,configurators,routers&dubbo=2.0.2&generic=false&interface=com.neu.userserviceapi.service.UserService&lazy=false&methods=getUserById&pid=63422&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1622627580766, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:18  INFO ZookeeperRegistry:320 -  [DUBBO] Unsubscribe: provider://172.26.9.85:20881/com.neu.couponserviceapi.service.CouponService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService&bind.ip=172.26.9.85&bind.port=20881&category=configurators&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.couponserviceapi.service.CouponService&methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice&monitor=dubbo%3A%2F%2F127.0.0.1%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D63422%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D63422%2526register.ip%253D172.26.9.85%2526release%253D2.7.2%2526timestamp%253D1622627597885%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1622627592841&pid=63422&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622627592843, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:18  INFO ZookeeperRegistry:483 -  [DUBBO] Destroy unsubscribe url provider://172.26.9.85:20881/com.neu.couponserviceapi.service.CouponService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService&bind.ip=172.26.9.85&bind.port=20881&category=configurators&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.couponserviceapi.service.CouponService&methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice&monitor=dubbo%3A%2F%2F127.0.0.1%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D63422%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D63422%2526register.ip%253D172.26.9.85%2526release%253D2.7.2%2526timestamp%253D1622627597885%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1622627592841&pid=63422&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622627592843, dubbo version: 2.7.2, current host: 172.26.9.85
